pos,titel,artiest,jaar,Datum,datum2
1031,I'm Going Home,Ten Years After,1971,28-12-16 10:47,41270
1030,De Bom,Doe Maar,1982,28-12-16 10:50,41270
1029,I Feel Love,Donna Summer,1977,28-12-16 10:54,41270
1028,The Worker,Fischer-Z,1979,28-12-16 10:57,41270
1027,Orinoco Flow,Enya,1988,28-12-16 11:15,41270
1026,Road To Nowhere,Talking Heads,1985,28-12-16 11:19,41270
1025,I Want You,Bob Dylan,1966,28-12-16 11:22,41270
1024,Little Red Rooster,The Rolling Stones,1965,28-12-16 11:26,41270
1023,Circle Of Life,Elton John,1994,28-12-16 11:30,41270
1022,Bigmouth Strikes Again,The Smiths,1986,28-12-16 11:34,41270
1021,Lola (live),The Kinks,1980,28-12-16 11:38,41270
1020,I'm Yours,Jason Mraz,2008,28-12-16 11:41,41270
1019,Stitches,Shawn Mendes,2015,28-12-16 11:45,41270
1018,Firestarter,Prodigy,1996,28-12-16 11:48,41270
1017,Run To You,Bryan Adams,1985,28-12-16 11:52,41270
1016,Listen To The Music,The Doobie Brothers,1972,28-12-16 11:56,41270
1015,Droomland,Paul de Leeuw & André Hazes,1993,28-12-16 11:59,41270
1014,My Sweet Lord,George Harrison,1970,28-12-16 12:16,41270
1013,Smack My Bitch Up,Prodigy,1997,28-12-16 12:20,41270
1012,N'oubliez Jamais,Joe Cocker,1997,28-12-16 12:25,41270
1011,Sledgehammer,Peter Gabriel,1986,28-12-16 12:30,41270
1010,You've Got A Friend,James Taylor,1971,28-12-16 12:34,41270
1009,Red Mij Niet,Maarten van Roozendaal,2001,28-12-16 12:39,41270
1008,Titanium,David Guetta & Sia,2011,28-12-16 12:43,41270
1007,Waiting On A Friend,The Rolling Stones,1981,28-12-16 12:47,41270
1006,Hold Back The River,James Bay,2014,28-12-16 12:51,41270
1005,Feeling Good,Michael Bublé,2004,28-12-16 12:55,41270
1004,Ruby Tuesday,The Rolling Stones,1967,28-12-16 12:58,41270
1003,Harder Better Faster Stronger,Daft Punk,2001,28-12-16 13:13,41270
1002,Watskeburt?!,De Jeugd Van Tegenwoordig,2005,28-12-16 13:17,41270
1001,Jumping Jack Flash,The Rolling Stones,1968,28-12-16 13:21,41270
1000,Mannish Boy,Muddy Waters,1988,28-12-16 13:26,41270
999,"Anyplace, Anywhere, Anytime",Nena & Kim Wilde,2004,28-12-16 13:30,41270
998,Just Say Yes,Snow Patrol,2009,28-12-16 13:34,41270
997,In My Life,The Beatles,1965,28-12-16 13:36,41270
996,Nikita,Elton John,1985,28-12-16 13:41,41270
995,Purple Haze,The Jimi Hendrix Experience,1967,28-12-16 13:44,41270
994,You're The Voice,John Farnham,1987,28-12-16 13:49,41270
993,Question,The Moody Blues,1970,28-12-16 13:54,41270
992,Peter Gunn Theme,Emerson Lake & Palmer,1980,28-12-16 13:59,41270
991,By The Way,Red Hot Chili Peppers,2002,28-12-16 14:14,41270
990,50 Ways To Leave Your Lover,Paul Simon,1976,28-12-16 14:17,41270
989,Start Me Up,The Rolling Stones,1981,28-12-16 14:21,41270
988,Two Out Of Three Ain't Bad,Meat Loaf,1977,28-12-16 14:26,41270
987,He Ain't Heavy He's My Brother,The Hollies,1969,28-12-16 14:30,41270
986,Auto Vliegtuug,Rowwen Hèze,1999,28-12-16 14:33,41270
985,Is Dit Alles,Doe Maar,1982,28-12-16 14:38,41270
984,Non Non Rien N'a Changé,Les Poppys,1971,28-12-16 14:41,41270
983,The Way You Make Me Feel,Michael Jackson,1987,28-12-16 14:46,41270
982,If You Don't Know Me By Now,Simply Red,1989,28-12-16 14:49,41270
981,Only Time,Enya,2000,28-12-16 14:53,41270
980,Shut Your Eyes,Snow Patrol,2007,28-12-16 14:56,41270
979,Zwart Wit,Frank Boeijen Groep,1984,28-12-16 14:59,41270
978,Waiting On The World To Change,John Mayer,2006,28-12-16 15:13,41270
977,Human Nature,Michael Jackson,1983,28-12-16 15:18,41270
