pos,titel,artiest,jaar,Datum,datum2
2000,Politik,Coldplay,2002,25-12-16 9:19,41267
1999,Moves Like Jagger,Maroon 5 & Christina Aguilera,2011,25-12-16 9:22,41267
1998,Heartbreak Hotel,Elvis Presley,1956,25-12-16 9:24,41267
1997,Modern World,Anouk,2008,25-12-16 9:28,41267
1996,I Can't Tell You Why,Eagles,1979,25-12-16 9:33,41267
1995,Duel (Eye To Eye),Propaganda,1985,25-12-16 9:37,41267
1994,I Love You Like I Love Myself,Herman Brood & His Wild Romance,1980,25-12-16 9:41,41267
1993,Tin Soldier,Small Faces,1968,25-12-16 9:44,41267
1992,Naïve,The Kooks,2006,25-12-16 9:48,41267
1991,After The Love Has Gone,Earth Wind & Fire,1979,25-12-16 9:52,41267
1990,Torn,Natalie Imbruglia,1997,25-12-16 9:56,41267
1989,Strange Fruit,Billie Holiday,1939,25-12-16 9:59,41267
1988,Common People,Pulp,1995,25-12-16 10:15,41267
1987,Daydream Believer,The Monkees,1967,25-12-16 10:18,41267
1986,Babylon,David Gray,2000,25-12-16 10:21,41267
1985,See Emily Play,Pink Floyd,1967,25-12-16 10:24,41267
1984,Luka,Suzanne Vega,1987,25-12-16 10:28,41267
1983,Ann,Q65,1966,25-12-16 10:31,41267
1982,Can't Feel My Face,The Weeknd,2015,25-12-16 10:34,41267
1981,Atlantis,Donovan,1969,25-12-16 10:39,41267
1980,Homburg,Procol Harum,1967,25-12-16 10:43,41267
1979,Als De Morgen Is Gekomen,Jan Smit,2006,25-12-16 10:46,41267
1978,I Predict A Riot,Kaiser Chiefs,2005,25-12-16 10:50,41267
1977,This Is The Last Time,Keane,2005,25-12-16 10:53,41267
1976,The Sun Ain't Gonna Shine Anymore,The Walker Brothers,1966,25-12-16 10:56,41267
1975,Crazy Horses,The Osmonds,1972,25-12-16 10:59,41267
1974,Heart Of Glass,Blondie,1979,25-12-16 11:12,41267
1973,All I Wanna Do Is Make Love To You,Heart,1990,25-12-16 11:18,41267
1972,Dichterbij Dan Ooit,Bløf,2001,25-12-16 11:22,41267
1971,Can't Buy Me Love,The Beatles,1964,25-12-16 11:24,41267
1970,Hou Me Vast,Volumia!,1998,25-12-16 11:28,41267
1969,I Want To Hold Your Hand,The Beatles,1964,25-12-16 11:30,41267
1968,Helpless,"Crosby, Stills, Nash & Young",1970,25-12-16 11:34,41267
1967,And I Love Her,The Beatles,1964,25-12-16 11:36,41267
1966,These Boots Are Made For Walking,Nancy Sinatra,1966,25-12-16 11:39,41267
1965,Slow Song,Joe Jackson,1982,25-12-16 11:46,41267
1964,Just The Way You Are,Billy Joel,1978,25-12-16 11:49,41267
1963,You've Lost That Loving Feeling,The Righteous Brothers,1965,25-12-16 11:53,41267
1962,You're The Inspiration,Chicago,1985,25-12-16 11:57,41267
1961,Never Alone,2 Brothers On The 4th Floor,1993,25-12-16 12:14,41267
1960,Magic Man,Heart,1976,25-12-16 12:20,41267
1959,It Ain't Over Till It's Over,Lenny Kravitz,1991,25-12-16 12:24,41267
1958,Atmosphere,Joy Division,1980,25-12-16 12:28,41267
1957,Crystal Ship,The Doors,1967,25-12-16 12:31,41267
1956,Fight For Your Right (To Party),Beastie Boys,1987,25-12-16 12:34,41267
1955,Original Sin,INXS,1984,25-12-16 12:38,41267
1954,Mysterious Ways,U2,1991,25-12-16 12:42,41267
1953,Lady Madonna,The Beatles,1968,25-12-16 12:44,41267
1952,Ventura Highway,America,1972,25-12-16 12:48,41267
1951,For The First Time,The Script,2010,25-12-16 12:52,41267
1950,Every Kinda People,Robert Palmer,1978,25-12-16 12:55,41267
1949,The Fear,Ben Howard,2012,25-12-16 12:58,41267
1948,'n Vriend,André Hazes,1980,25-12-16 13:14,41267
1947,Lovesong,The Cure,1989,25-12-16 13:17,41267
1946,Ocean Of Night,Editors,2015,25-12-16 13:20,41267
1945,Making Plans For Nigel,XTC,1979,25-12-16 13:24,41267
1944,Daniel,Elton John,1973,25-12-16 13:28,41267
1943,Sacrifice,Anouk,1998,25-12-16 13:32,41267
1942,Atlas,Coldplay,2013,25-12-16 13:36,41267
1941,I'm Not The Only One,Sam Smith,2014,25-12-16 13:40,41267
1940,Turn Turn Turn,The Byrds,1965,25-12-16 13:43,41267
1939,Rikki Don't Lose That Number,Steely Dan,1974,25-12-16 13:47,41267
1938,Killer,Adamski,1990,25-12-16 13:51,41267
1937,Faded,Alan Walker,2016,25-12-16 13:55,41267
1936,To Love Somebody,Bee Gees,1967,25-12-16 13:58,41267
1935,I Don't Want To Talk About It,Rod Stewart,1977,25-12-16 14:15,41267
1934,Green Onions,Booker T & The MG's,1962,25-12-16 14:18,41267
1933,Davy's On The Road Again,Manfred Mann's Earth Band,1978,25-12-16 14:21,41267
1932,Fools Gold,Stone Roses,1990,25-12-16 14:26,41267
1931,Back It Up,Caro Emerald,2009,25-12-16 14:29,41267
1930,I Got You Babe,UB40 & Chrissie Hynde,1985,25-12-16 14:33,41267
1929,Water Of Love,Dire Straits,1978,25-12-16 14:38,41267
1928,Je Veux De L'amour,Raymond van het Groenewoud,1980,25-12-16 14:43,41267
1927,Hoe,Nielson & Miss Montreal,2013,25-12-16 14:45,41267
1926,J'me Tire,Maitre Gims,2013,25-12-16 14:49,41267
1925,"Sitting, Waiting, Wishing",Jack Johnson,2005,25-12-16 14:52,41267
1924,I'm Every Woman,Chaka Khan,1979,25-12-16 14:57,41267
1923,Geloven In Het Leven,3JS,2010,25-12-16 15:14,41267
1922,Try (just A Little Bit Harder),Janis Joplin,1967,25-12-16 15:18,41267
1921,Southern Man,Neil Young,1970,25-12-16 15:23,41267
1920,Legs,ZZ Top,1985,25-12-16 15:28,41267
1919,Euphoria,Loreen,2012,25-12-16 15:31,41267
1918,Woman,John Lennon,1981,25-12-16 15:34,41267
1917,Suicide Blonde,INXS,1990,25-12-16 15:38,41267
1916,The 5th,Ekseption,1969,25-12-16 15:41,41267
1915,Reelin' In The Years,Steely Dan,1973,25-12-16 15:46,41267
1914,Go West,Pet Shop Boys,1993,25-12-16 15:50,41267
1913,Beautiful People,Marilyn Manson,1996,25-12-16 15:54,41267
1912,All Apologies,Nirvana,1993,25-12-16 15:58,41267
1911,You Make Lovin' Fun,Fleetwood Mac,1978,25-12-16 16:14,41267
1910,Walk This Way,Run-D.M.C.,1986,25-12-16 16:17,41267
1909,Master Blaster (Jammin'),Stevie Wonder,1980,25-12-16 16:22,41267
1908,Peggy Sue,Buddy Holly,1957,25-12-16 16:25,41267
1907,Dead Flowers,The Rolling Stones,1971,25-12-16 16:29,41267
1906,Sausolito Summernight,Diesel,1980,25-12-16 16:32,41267
1905,Passie,Clouseau,1995,25-12-16 16:37,41267
1904,Play That Funky Music,Wild Cherry,1976,25-12-16 16:40,41267
1903,Memory Motel,The Rolling Stones,1976,25-12-16 16:47,41267
1902,Rendezvous 6:02,UK,1979,25-12-16 16:52,41267
1901,Who Are You,The Who,1978,25-12-16 16:55,41267
1900,Summer In The City,Joe Cocker,1994,25-12-16 16:59,41267
1899,The Sweetest Taboo,Sade,1985,25-12-16 17:14,41267
1898,Fantastig Toch,Eva De Roovere,2007,25-12-16 17:17,41267
1897,As,Stevie Wonder,1976,25-12-16 17:24,41267
1896,Elevation,U2,2001,25-12-16 17:27,41267
1895,I Want You Back,Jackson 5,1970,25-12-16 17:30,41267
1894,Transmission,Joy Division,1979,25-12-16 17:34,41267
1893,Winter In Hamburg,Frank Boeijen Groep,1987,25-12-16 17:39,41267
1892,What's A Woman,Vaya Con Dios,1990,25-12-16 17:43,41267
1891,This Melody,Julien Clerc,1976,25-12-16 17:47,41267
1890,All Star,Smash Mouth,1999,25-12-16 17:50,41267
1889,Voir Un Ami Pleurer,Jacques Brel,1961,25-12-16 17:54,41267
1888,Sunrise,Simply Red,2003,25-12-16 17:58,41267
1887,Poker Face,Lady Gaga,2009,25-12-16 18:15,41267
1886,Met Hart En Ziel,Tröckener Kecks,1990,25-12-16 18:18,41267
1885,"Oh, Pretty Woman",Roy Orbison,1964,25-12-16 18:21,41267
1884,Meeting Across The River,Bruce Springsteen,1975,25-12-16 18:25,41267
1883,Laat Het Los,Van Dik Hout,1996,25-12-16 18:29,41267
1882,Crying,Aerosmith,1993,25-12-16 18:35,41267
1881,Het Is Koud Zonder Jou,André Hazes,1980,25-12-16 18:39,41267
1880,Ik Wil Niet Dat Je Liegt,Paul de Leeuw,1993,25-12-16 18:42,41267
1879,Fox On The Run,The Sweet,1975,25-12-16 18:46,41267
1878,Crazy,Icehouse,1987,25-12-16 18:51,41267
1877,Dance The Night Away,The Mavericks,1998,25-12-16 18:55,41267
1876,It's  A Beautiful Day,Michael Bublé,2013,25-12-16 18:58,41267
1875,Blue Jean,David Bowie,1984,25-12-16 19:13,41267
1874,Here There And Everywhere,The Beatles,1966,25-12-16 19:16,41267
1873,Late Again,Stealers Wheel,1973,25-12-16 19:19,41267
1872,A Real Mother For Ya,Johnny Guitar Watson,1977,25-12-16 19:24,41267
1871,Sky On Fire,Handsome Poets,2012,25-12-16 19:27,41267
1870,That Was Yesterday,Foreigner,1985,25-12-16 19:31,41267
1869,Sadeness Part 1,Enigma,1990,25-12-16 19:35,41267
1868,Up Where We Belong,Joe Cocker & Jennifer Warnes,1982,25-12-16 19:39,41267
1867,Set The Fire To The Third Bar,Snow Patrol Feat. Martha Wainright,2006,25-12-16 19:42,41267
1866,Tonight,Jett Rebel,2014,25-12-16 19:45,41267
1865,I've Just Lost Somebody,Golden Earring,1968,25-12-16 19:49,41267
1864,Don't You Worry Child,Swedish House Mafia Feat. John Martin,2012,25-12-16 19:52,41267
1863,The Model,Kraftwerk,1978,25-12-16 19:56,41267
1862,This Strange Effect,Dave Berry,1965,25-12-16 19:58,41267
1861,Girls Just Want To Have Fun,Cyndi Lauper,1984,25-12-16 20:10,41267
1860,Domino,Clouseau,1990,25-12-16 20:14,41267
1859,Million Years Ago,Adele,2016,25-12-16 20:18,41267
1858,Last Goodbye,Jeff Buckley,1994,25-12-16 20:22,41267
1857,Let's Stick Together,Bryan Ferry,1976,25-12-16 20:25,41267
1856,Bright Side Of The Road,Van Morrison,1979,25-12-16 20:29,41267
1855,Una Paloma Blanca,George Baker Selection,1975,25-12-16 20:32,41267
1854,Slow Down,Douwe Bob,2016,25-12-16 20:35,41267
1853,Magnificent Seven,The Clash,1980,25-12-16 20:39,41267
1852,Who Says,John Mayer,2009,25-12-16 20:42,41267
1851,Hotel Lounge,Deus,1994,25-12-16 20:46,41267
1850,What Is Love,Haddaway,1992,25-12-16 20:51,41267
1849,You're In My Heart,Rod Stewart,1977,25-12-16 20:55,41267
1848,Grounds For Divorce,Elbow,2008,25-12-16 20:59,41267
1847,Breakfast At Tiffany's,Deep Blue Something,1996,25-12-16 21:11,41267
1846,I've Been Loving You Too Long,Otis Redding,1965,25-12-16 21:15,41267
1845,Uptown Girl,Billy Joel,1983,25-12-16 21:18,41267
1844,P.Y.T.,Michael Jackson,1982,25-12-16 21:22,41267
1843,Op 't Platteland,Daniel Lohues,2014,25-12-16 21:25,41267
1842,In The Army Now,Status Quo,1986,25-12-16 21:29,41267
1841,Open Je Ogen,Bløf,2014,25-12-16 21:33,41267
1840,Ship To Wreck,Florence & The Machine,2015,25-12-16 21:37,41267
1839,Air,Ekseption,1969,25-12-16 21:40,41267
1838,YMCA,Village People,1978,25-12-16 21:44,41267
1837,No Regrets,The Walker Brothers,1976,25-12-16 21:49,41267
1836,As Long As You Love Me,The Backstreet Boys,1997,25-12-16 21:53,41267
1835,Crazy,Aerosmith,1993,25-12-16 21:58,41267
1834,I Just Can't Stop Loving You,Michael Jackson,1987,25-12-16 22:10,41267
1833,Sad Man's Tongue,Volbeat,2007,25-12-16 22:13,41267
1832,Love Of The Common People,Paul Young,1984,25-12-16 22:17,41267
1831,Meer Dan Een Ander,Van Dik Hout,1994,25-12-16 22:21,41267
1830,Don't Go,Yazoo,1982,25-12-16 22:24,41267
1829,Walk On,U2,2000,25-12-16 22:28,41267
1828,Witchy Woman,Eagles,1972,25-12-16 22:32,41267
1827,This Is My Life,Shirley Bassey,1979,25-12-16 22:36,41267
1826,Bombay,Golden Earring,1976,25-12-16 22:40,41267
1825,If There's Something,Roxy Music,1972,25-12-16 22:46,41267
1824,Tumble And Fall,Johan,2001,25-12-16 22:50,41267
1823,Bullet With Butterfly Wings,The Smashing Pumpkins,1995,25-12-16 22:54,41267
1822,Teardrops,Womack & Womack,1988,25-12-16 22:58,41267
1821,Merry Xmas Everybody,Slade,1973,25-12-16 23:09,41267
1820,Waiting For The Sun,The Doors,1971,25-12-16 23:13,41267
1819,We Didn't Start The Fire,Billy Joel,1989,25-12-16 23:18,41267
1818,High And Dry,Radiohead,1995,25-12-16 23:22,41267
1817,Dakota,Stereophonics,2005,25-12-16 23:26,41267
1816,Hey Boy Hey Girl,Chemical Brothers,1999,25-12-16 23:30,41267
1815,Sun Is Shining,Axwell And Ingrosso,2015,25-12-16 23:33,41267
1814,I Sat By The Ocean,Queens Of The Stone Age,2013,25-12-16 23:37,41267
1813,On Shoulders,Chef'Special,2014,25-12-16 23:40,41267
1812,Subterranean Homesick Blues,Bob Dylan,1965,25-12-16 23:42,41267
1811,Cleanin' Out My Closet,Eminem,2002,25-12-16 23:47,41267
1810,La Solitudine,Laura Pausini,1993,25-12-16 23:51,41267
1809,We Zullen Doorgaan,Ramses Shaffy,1975,25-12-16 23:55,41267
1808,Everything For Free,K's Choice,1998,25-12-16 23:59,41267
1807,Sorry Seems To Be The Hardest Word,Elton John,1976,26-12-16 0:07,41268
1806,Guitar Man,Elvis Presley,1972,26-12-16 0:09,41268
1805,Love Me Like You Do,Ellie Goulding,2015,26-12-16 0:13,41268
1804,Rivers Of Babylon,Boney M,1978,26-12-16 0:17,41268
1803,Handle With Care,Traveling Wilburys,1988,26-12-16 0:20,41268
1802,Jealous Guy,Roxy Music,1981,26-12-16 0:25,41268
1801,Every Breaking Wave,U2,2014,26-12-16 0:29,41268
1800,Suite Judy Blue Eyes,"Crosby, Stills & Nash",1969,26-12-16 0:36,41268
1799,Hijo De La Luna,Mecano,1990,26-12-16 0:41,41268
1798,Farewell To The Fairground,White Lies,2009,26-12-16 0:45,41268
1797,Wind Beneath My Wings,Bette Midler,1988,26-12-16 0:50,41268
1796,Mississippi,Pussycat,1975,26-12-16 0:54,41268
1795,Steppin' Out,Joe Jackson,1982,26-12-16 0:58,41268
1794,Fall,Dotan,2014,26-12-16 1:07,41268
1793,Hero,Enrique Iglesias,2001,26-12-16 1:11,41268
1792,Why,The Cats,1969,26-12-16 1:15,41268
1791,Rape Me,Nirvana,1993,26-12-16 1:18,41268
1790,I Got A Name,Jim Croce,1975,26-12-16 1:21,41268
1789,Home,Simply Red,2003,26-12-16 1:24,41268
1788,I Don't Like Mondays,The Boomtown Rats,1979,26-12-16 1:28,41268
1787,'n Beetje Verliefd,André Hazes,1981,26-12-16 1:32,41268
1786,I've Had The Time Of My Life,Bill Medley & Jennifer Warnes,1987,26-12-16 1:37,41268
1785,Wer Bisto,Twarres,2000,26-12-16 1:41,41268
1784,Goodbye Stranger,Supertramp,1979,26-12-16 1:45,41268
1783,Always On The Run,Lenny Kravitz,1991,26-12-16 1:49,41268
1782,Mr. Rock & Roll,Amy Macdonald,2008,26-12-16 1:52,41268
1781,Hier,Bløf,2000,26-12-16 1:57,41268
1780,For What It's Worth,Buffalo Springfield,1967,26-12-16 1:59,41268
1779,Supergirl,Reamonn,2000,26-12-16 2:07,41268
1778,All Of My Heart,ABC,1982,26-12-16 2:12,41268
1777,Tonight Tonight,The Smashing Pumpkins,1995,26-12-16 2:16,41268
1776,A Piece Of The Action,The Babys,1978,26-12-16 2:20,41268
1775,Something Happened On The Way To Heaven,Phil Collins,1990,26-12-16 2:25,41268
1774,I Close My Eyes (And Count To Ten),Dusty Springfield,1968,26-12-16 2:28,41268
1773,A Little Less Conversation,Elvis vs JXL,2002,26-12-16 2:32,41268
1772,Take Your Time,Sam Hunt,2015,26-12-16 2:36,41268
1771,I Could Never Take The Place Of Your Man,Prince,1987,26-12-16 2:39,41268
1770,S.O.B.,Nathaniel Rateliff & The Night Sweats,2015,26-12-16 2:43,41268
1769,Sgt Pepper's Lonely Hearts Club Band,The Beatles,1967,26-12-16 2:45,41268
1768,Eight Days A Week,The Beatles,1965,26-12-16 2:48,41268
1767,We Are The World,USA For Africa,1985,26-12-16 2:55,41268
1766,Babooshka,Kate Bush,1980,26-12-16 2:59,41268
1765,Rock The Casbah,The Clash,1982,26-12-16 3:07,41268
1764,Eyes Without A Face,Billy Idol,1984,26-12-16 3:11,41268
1763,When I Come Around,Green Day,1995,26-12-16 3:14,41268
1762,Close To You,Michael Prins,2013,26-12-16 3:19,41268
1761,Alphabet Street,Prince,1988,26-12-16 3:21,41268
1760,Rosie,Claw Boys Claw,1992,26-12-16 3:25,41268
1759,Everything,Michael Bublé,2007,26-12-16 3:29,41268
1758,Addicted To You,Avicii,2014,26-12-16 3:31,41268
1757,You're The Devil In Disguise,Elvis Presley,1963,26-12-16 3:34,41268
1756,Greatest Love Of All,Whitney Houston,1986,26-12-16 3:39,41268
1755,Thrift Shop,Macklemore & Ryan Lewis,2013,26-12-16 3:42,41268
1754,I Saw Her Standing There,The Beatles,1963,26-12-16 3:45,41268
1753,Hou Van Mij,Het Goede Doel,1983,26-12-16 3:51,41268
1752,I'll Find My Way Home,Jon & Vangelis,1982,26-12-16 3:56,41268
1751,Time Is On My Side,The Rolling Stones,1965,26-12-16 3:59,41268
1750,Story Of My Life,One Direction,2013,26-12-16 4:07,41268
1749,Diane,Therapy,1995,26-12-16 4:11,41268
1748,Where Do You Go To My Lovely,Peter Sarstedt,1969,26-12-16 4:16,41268
1747,White Wedding,Billy Idol,1982,26-12-16 4:19,41268
1746,Super Trouper,ABBA,1980,26-12-16 4:23,41268
1745,Real Slim Shady,Eminem,2000,26-12-16 4:28,41268
1744,No Good (Start The Dance),Prodigy,1994,26-12-16 4:32,41268
1743,Live Forever,Oasis,1994,26-12-16 4:35,41268
1742,The Ballroom Blitz,The Sweet,1973,26-12-16 4:39,41268
1741,Don't Forget To Remember,Bee Gees,1969,26-12-16 4:43,41268
1740,Can You Feel The Love Tonight,Elton John,1994,26-12-16 4:47,41268
1739,Swim With Sam,A Balladeer,2006,26-12-16 4:50,41268
1738,Good Grief,Bastille,2016,26-12-16 4:54,41268
1737,Boy In The Bubble,Paul Simon,1987,26-12-16 4:58,41268
1736,Blackstar,David Bowie,2016,26-12-16 5:13,41268
1735,Galvanize,Chemical Brothers,2005,26-12-16 5:17,41268
1734,Lord Of The Ages,Magna Carta,1973,26-12-16 5:27,41268
1733,Memory Remains,Metallica,1997,26-12-16 5:31,41268
1732,Peaceful Easy Feelin',Eagles,1972,26-12-16 5:36,41268
1731,Grow Old With Me,Tom Odell,2013,26-12-16 5:39,41268
1730,Can't Stand Losing You,The Police,1979,26-12-16 5:41,41268
1729,Good Year For The Roses,Elvis Costello,1981,26-12-16 5:45,41268
1728,Killing Me Softly,The Fugees,1996,26-12-16 5:49,41268
1727,S.O.S.,ABBA,1975,26-12-16 5:52,41268
1726,Sugar,Maroon 5,2015,26-12-16 5:56,41268
1725,Into The Mystic,van Morrison,1970,26-12-16 5:59,41268
1724,Nutbush City Limits,Ike & Tina Turner,1974,26-12-16 6:11,41268
1723,Our Day Will Come,Amy Winehouse,2011,26-12-16 6:14,41268
1722,Diamonds,Rihanna,2012,26-12-16 6:18,41268
1721,Fire,The Pointer Sisters,1979,26-12-16 6:21,41268
1720,Ms Jackson,Outkast,2000,26-12-16 6:26,41268
1719,Mercy,Shawn Mendes,2016,26-12-16 6:29,41268
1718,Shake It Off,Taylor Swift,2014,26-12-16 6:33,41268
1717,Without Me,Eminem,2002,26-12-16 6:37,41268
1716,All Summer Long,Kid Rock,2008,26-12-16 6:42,41268
1715,Song Sung Blue,Neil Diamond,1972,26-12-16 6:45,41268
1714,Freestyler,Bomfunk MC's,2000,26-12-16 6:48,41268
1713,Do It Again,Steely Dan,1972,26-12-16 6:52,41268
1712,Three Times A Lady,Commodores,1978,26-12-16 6:56,41268
1711,Shout,The Trammps,1975,26-12-16 6:59,41268
1710,Save Tonight,Eagle Eye Cherry,1998,26-12-16 7:14,41268
1709,It's Raining Men,Weather Girls,1983,26-12-16 7:18,41268
1708,FourFiveSeconds,Rihannna & Kanye West & Paul McCartney,2015,26-12-16 7:21,41268
1707,Toveren,Herman van Veen,1987,26-12-16 7:24,41268
1706,Skandal Im Sperrbezirk,Spider Murphy Gang,1982,26-12-16 7:28,41268
1705,Invisible Touch,Genesis,1986,26-12-16 7:31,41268
1704,Seven Days In Sunny June,Jamiroquai,2005,26-12-16 7:35,41268
1703,Brother,Racoon,2006,26-12-16 7:37,41268
1702,Rock 'n Roll Highschool,Ramones,1980,26-12-16 7:40,41268
1701,Still In Love With You,Thin Lizzy,1974,26-12-16 7:46,41268
1700,Black Dog,Led Zeppelin,1971,26-12-16 7:51,41268
1699,Old Town,Philip Lynott,1982,26-12-16 7:54,41268
1698,Roar,Katy Perry,2013,26-12-16 7:58,41268
1697,Heavy Cross,Gossip,2009,26-12-16 8:13,41268
1696,Me And Mrs. Jones,Billy Paul,1973,26-12-16 8:18,41268
1695,Sound Of The Screaming Day,Golden Earrings,1967,26-12-16 8:21,41268
1694,We Used To Wait,Arcade Fire,2010,26-12-16 8:26,41268
1693,La Isla Bonita,Madonna,1987,26-12-16 8:30,41268
1692,The Sun Always Shines On TV,A-Ha,1986,26-12-16 8:35,41268
1691,Needle And The Damage Done,Neil Young,1972,26-12-16 8:37,41268
1690,The Name Of The Game,ABBA,1977,26-12-16 8:40,41268
1689,Raise Your Glass,P!nk,2010,26-12-16 8:44,41268
1688,Ode To My Family,The Cranberries,1995,26-12-16 8:48,41268
1687,Woman From Tokyo,Deep Purple,1973,26-12-16 8:54,41268
1686,Pa,Doe Maar,1983,26-12-16 8:58,41268
1685,Against The Wind,Bob Seger,1980,26-12-16 9:14,41268
1684,Love Me Do,The Beatles,1963,26-12-16 9:16,41268
1683,Love Games,Level 42,1981,26-12-16 9:21,41268
1682,Virtual Insanity,Jamiroquai,1996,26-12-16 9:24,41268
1681,Homeward Bound,Simon & Garfunkel,1966,26-12-16 9:27,41268
1680,Pumped Up Kicks,Foster The People,2011,26-12-16 9:30,41268
1679,Love Is The Drug,Roxy Music,1976,26-12-16 9:35,41268
1678,The Eyes Of Jenny,Sandy Coast,1981,26-12-16 9:39,41268
1677,Sunny Afternoon,The Kinks,1966,26-12-16 9:42,41268
1676,Run The World (Girls),Beyoncé,2011,26-12-16 9:46,41268
1675,Niggas In Paris,Kanye West & Jay Z,2011,26-12-16 9:50,41268
1674,Big In Japan,Alphaville,1984,26-12-16 9:54,41268
1673,Locked Out Of Heaven,Bruno Mars,2012,26-12-16 9:58,41268
1672,Hemingway,Bløf,2007,26-12-16 10:14,41268
1671,Take This Waltz,Leonard Cohen,1988,26-12-16 10:20,41268
1670,The Second You Sleep,Saybia,2002,26-12-16 10:24,41268
1669,Get Up Stand Up,Bob Marley & The Wailers,1973,26-12-16 10:27,41268
1668,Let The Music Play,Barry White,1976,26-12-16 10:31,41268
1667,Tiny Dancer,Elton John,1971,26-12-16 10:37,41268
1666,Long Train Runnin',The Doobie Brothers,1973,26-12-16 10:40,41268
1665,No Diggity,Blackstreet Feat. Dr. Dre,1996,26-12-16 10:44,41268
1664,Gloria,Them,1967,26-12-16 10:47,41268
1663,Home Again,Michael Kiwanuka,2012,26-12-16 10:51,41268
1662,Crazy,Gnarls Barkley,2006,26-12-16 10:54,41268
1661,Kalverliefde,Robert Long,1974,26-12-16 10:57,41268
1660,Annabel,Hans de Booij,1983,26-12-16 11:14,41268
1659,Girl You'll Be A Woman Soon,Neil Diamond,1971,26-12-16 11:17,41268
1658,Cross,Prince,1987,26-12-16 11:22,41268
1657,Enola Gay,Orchestral Manoeuvres In The Dark,1980,26-12-16 11:25,41268
1656,Gold On The Ceiling,Black Keys,2011,26-12-16 11:29,41268
1655,Loser,Beck,1994,26-12-16 11:33,41268
1654,Wheels,Foo Fighters,2009,26-12-16 11:38,41268
1653,There Must Be An Angel,Eurythmics,1985,26-12-16 11:42,41268
1652,The Devil Went Down To Georgia,Charlie Daniels Band,1979,26-12-16 11:46,41268
1651,Heaven For Everyone,Queen,1995,26-12-16 11:50,41268
1650,The Road Ahead,City To City,1999,26-12-16 11:54,41268
1649,Green Green Grass Of Home,Tom Jones,1966,26-12-16 11:57,41268
1648,Feel Like Making Love,Bad Company,1975,26-12-16 12:14,41268
1647,My Love,Kovacs,2015,26-12-16 12:18,41268
1646,Drive,The Cars,1984,26-12-16 12:22,41268
1645,Read All About It,Emeli Sandé,2013,26-12-16 12:25,41268
1644,Wanna Be Startin' Something,Michael Jackson,1983,26-12-16 12:30,41268
1643,Smooth,Santana feat. Rob Thomas,1999,26-12-16 12:34,41268
1642,Stars,Simply Red,1991,26-12-16 12:38,41268
1641,Brick By Brick,Racoon,2014,26-12-16 12:41,41268
1640,Shut Up And Dance,Walk The Moon,2014,26-12-16 12:45,41268
1639,Born To Be Alive,Patrick Hernandez,1979,26-12-16 12:48,41268
1638,Fantastic Journey Of The Underground Man,De Staat,2009,26-12-16 12:51,41268
1637,Secret Garden,Bruce Springsteen,1995,26-12-16 12:56,41268
1636,Stiekem Gedanst,Toontje Lager,1983,26-12-16 12:59,41268
1635,Hard To Handle,Black Crowes,1990,26-12-16 13:14,41268
1634,Dancing With Tears In My Eyes,Ultravox,1984,26-12-16 13:18,41268
1633,Eve Of Destruction,Barry McGuire,1965,26-12-16 13:22,41268
1632,Wild Is The Wind,David Bowie,1976,26-12-16 13:28,41268
1631,MacArthur Park,Richard Harris,1968,26-12-16 13:35,41268
1630,A Thing Called Love,Johnny Cash,1972,26-12-16 13:38,41268
1629,Forever Man,Eric Clapton,1985,26-12-16 13:41,41268
1628,Just Like A Woman,Bob Dylan,1966,26-12-16 13:46,41268
1627,Sweet Disposition,The Temper Trap,2009,26-12-16 13:50,41268
1626,I'll Have To Say I Love You In A Song,Jim Croce,1974,26-12-16 13:52,41268
1625,Grace,Jeff Buckley,1994,26-12-16 13:58,41268
1624,Midnight Rambler,The Rolling Stones,1969,26-12-16 14:15,41268
1623,Don't Look Back,Boston,1978,26-12-16 14:19,41268
1622,Dancing On My Own,Calum Scott,2016,26-12-16 14:24,41268
1621,Will You Be There,Michael Jackson,1993,26-12-16 14:28,41268
1620,Don't You Want Me,The Human League,1982,26-12-16 14:32,41268
1619,Bagagedrager,Spinvis,2002,26-12-16 14:36,41268
1618,It Must Have Been Love,Roxette,1990,26-12-16 14:40,41268
1617,Bad Romance,Lady Gaga,2009,26-12-16 14:44,41268
1616,No Ordinary Love,Sade,1992,26-12-16 14:47,41268
1615,Should I Stay Or Should I Go,The Clash,1982,26-12-16 14:50,41268
1614,Sing,Ed Sheeran,2014,26-12-16 14:54,41268
1613,24k Magic,Bruno Mars,2016,26-12-16 14:57,41268
1612,You Really Got Me,The Kinks,1964,26-12-16 15:12,41268
1611,Faith,George Michael,1987,26-12-16 15:15,41268
1610,Als De Rook Om Je Hoofd Is Verdwenen,Boudewijn de Groot,1972,26-12-16 15:19,41268
1609,No Sleep Till Brooklyn,Beastie Boys,1987,26-12-16 15:23,41268
1608,Two Tribes,Frankie Goes To Hollywood,1984,26-12-16 15:27,41268
1607,Beast Of Burden,The Rolling Stones,1978,26-12-16 15:31,41268
1606,Down On The Corner,Creedence Clearwater Revival,1969,26-12-16 15:34,41268
1605,Unbeschreiblich Weiblich,Nina Hagen,1979,26-12-16 15:38,41268
1604,It's Over,Level 42,1987,26-12-16 15:42,41268
1603,Lost,Coldplay,2008,26-12-16 15:46,41268
